study,mechanism,param,factor,cells,noise,rep,floor_mean,floor_std,wt_mech,wt_lin,loss_K,loss_n,loss_vmax,wt_distance
calib,threshold,K,3.0,2000,1,0,0.007339656352996826,0.0029485625899938,0.013759496808052062,0.030384376645088196,0.027192644774913788,0.7183047354221344,0.035427629947662354,0.9721143245697021
calib,threshold,K,3.0,2000,1,1,0.00930349826812744,0.003193004656090836,0.01647680699825287,0.028946009278297425,0.023676769435405733,0.7094994604587554,0.030619104206562043,1.141475796699524
calib,threshold,K,3.0,2000,1,2,0.008410370349884034,0.004947123939076358,0.014412865042686462,0.02931323051452637,0.02499344348907471,0.6973115980625153,0.03276392370462418,0.8972822427749634
calib,threshold,K,3.0,2000,1,3,0.010925841331481934,0.007526891321991858,0.013805320858955384,0.031028249859809877,0.025658895075321198,0.6358390346169471,0.032658936083316804,0.9335176944732666
calib,threshold,K,3.0,2000,1,4,0.010032570362091065,0.007148267975748042,0.015372705459594727,0.02968200147151947,0.027108699083328247,0.7994205519556999,0.0363512247800827,1.0362238883972168
calib,threshold,K,3.0,2000,1,5,0.009460926055908203,0.005604501070175048,0.01469598114490509,0.028887176513671876,0.023970234394073486,0.7442083433270454,0.03387777209281921,0.8532048463821411
calib,threshold,K,3.0,2000,1,6,0.007767987251281738,0.004094452783249937,0.016444358229637145,0.031160712242126465,0.027244089543819426,0.8084859177470207,0.03677562773227692,0.9710952043533325
calib,threshold,K,3.0,2000,1,7,0.010645627975463867,0.006270709025825957,0.014402714371681214,0.031923457980155945,0.02487473338842392,0.7242489516735077,0.03475273102521896,0.9776629209518433
calib,threshold,K,3.0,2000,1,8,0.00879136323928833,0.0036381023233435826,0.012511441111564636,0.03520039319992065,0.02483285963535309,0.8094001829624176,0.03344330936670303,1.0204627513885498
calib,threshold,K,3.0,2000,1,9,0.008165466785430908,0.004457206838034745,0.01329667866230011,0.033097115159034726,0.02585394084453583,0.6708259984850884,0.034063640236854556,0.8553894758224487
calib,threshold,K,3.0,2000,1,10,0.009621143341064453,0.00443313723159788,0.015553250908851624,0.030343446135520934,0.025007268786430357,0.6897298246622086,0.034365780651569366,1.0196343660354614
calib,threshold,K,3.0,2000,1,11,0.010101211071014405,0.005305647039929258,0.014772164821624755,0.03347364962100983,0.02212960571050644,0.7204868987202644,0.02766500413417816,0.8722831010818481
calib,threshold,K,3.0,2000,1,12,0.010978829860687257,0.006270530282146353,0.01444084346294403,0.025875547528266908,0.024917905032634736,0.638094836473465,0.030267810821533202,0.8644074201583862
calib,threshold,K,3.0,2000,1,13,0.009227430820465088,0.005751802729898632,0.01633017361164093,0.034355050325393675,0.02147400826215744,0.7183725699782372,0.02903137058019638,0.8653697967529297
calib,threshold,K,3.0,2000,1,14,0.009633505344390869,0.006918846372229909,0.019512453675270082,0.03288766145706177,0.0238029345870018,0.6839030161499977,0.033946970105171205,1.0130376815795898
calib,threshold,K,3.0,2000,1,15,0.00822838544845581,0.0030180411715664216,0.012837636470794677,0.034046056866645816,0.027382613718509675,0.8102400705218316,0.03666686862707138,1.1467715501785278
